id,sciName,mainCommonName,otherCommonNames,majorType,majorSubtype,order,family,subfamily,tribe,genus,specificEpithet,authoritySpeciesAuthor,authoritySpeciesYear,authoritySpeciesFullcitation,authoritySpeciesLink,holotypeVoucher,taxonomyNotes,taxonomyNotesCitation,biogeographicRealm,MSW3_matchtype,MSW3_sciName,extinct,domestic,flagged,newSppSinceMSW3,
52,Acrobates_frontalis,Broad-toed Feather-tailed Glider,De Vis’s Feathertail Glider,Marsupalia,Australidelphia,DIPROTODONTIA,ACROBATIDAE,NA,NA,Acrobates,frontalis,de Vis,1887,,,,split from A. pygmaeus based on morphology,"Jackson, S. M., and P. Schouten. 2012. Gliding mammals of the world. CSIRO Publishing, Melbourne, Australia.",Australasia/Oceania,unmatched,NA,0,0,0,1,
53,Acrobates_pygmaeus,Narrow-toed Feather-tailed Glider,Dusky Feathertail Glider|Feathertail Glider|Flying Mouse|Pygmy Glider|Pygmy Gliding Possum|Pigmy Phalanger,Marsupalia,Australidelphia,DIPROTODONTIA,ACROBATIDAE,NA,NA,Acrobates,pygmaeus,Shaw,1793,,,,split from A. pygmaeus based on morphology,"Jackson, S. M., and P. Schouten. 2012. Gliding mammals of the world. CSIRO Publishing, Melbourne, Australia.",Australasia/Oceania,sciname match,Acrobates_pygmaeus,0,0,0,0,
54,Acrocodia_indicus,Malayan Tapir,Asian Tapir|Indian Tapir|Malay Tapir,Placentalia,Boreoeutheria,PERISSODACTYLA,TAPIRIDAE,NA,NA,Acrocodia,indicus,Desmarest,1819,,,,genus transfer,"Groves, C. P. & Grubb, P. 2011. Ungulate taxonomy. The John Hopkins University Press, Baltimore, Maryland.",Indomalaya,manual,Tapirus_indicus,0,0,1,0,
55,Addax_nasomaculatus,Addax,,Placentalia,Boreoeutheria,ARTIODACTYLA,BOVIDAE,ANTILOPINAE,HIPPOTRAGINI,Addax,nasomaculatus,de Blainville,1816,,,,NA,NA,"Palearctic, Afrotropic",sciname match,Addax_nasomaculatus,0,0,0,0,
56,Aegialomys_baroni,Baron’s Rice Rat,Baron’s Aegialomys,Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,SIGMODONTINAE,ORYZOMYINI,Aegialomys,baroni,J. A. Allen,1897,,,,split from A. xanthaeolus,"do Prado, J. R., & Percequillo, A. R. (2017). Systematic Studies of the Genus Aegialomys Weksler et al., 2006 (Rodentia: Cricetidae: Sigmodontinae): Geographic Variation, Species Delimitation, and Biogeography. Journal of Mammalian Evolution, 1-48.",Neotropic,unmatched,NA,0,0,0,1,
57,Aegialomys_galapagoensis,Galapagos Rice Rat,Galapagos Aegialomys|Galapagos Oryzomys,Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,SIGMODONTINAE,ORYZOMYINI,Aegialomys,galapagoensis,Waterhouse,1839,,,,fixed spelling error,NA,Neotropic,manual,Oryzomys_galapagoensis,0,0,0,0,
58,Aegialomys_ica,Ica Rice Rat,Ica Aegialomys,Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,SIGMODONTINAE,ORYZOMYINI,Aegialomys,ica,Osgood,1944,,,,split from A. xanthaeolus,"do Prado, J. R., & Percequillo, A. R. (2017). Systematic Studies of the Genus Aegialomys Weksler et al., 2006 (Rodentia: Cricetidae: Sigmodontinae): Geographic Variation, Species Delimitation, and Biogeography. Journal of Mammalian Evolution, 1-48.",Neotropic,unmatched,NA,0,0,0,1,
59,Aegialomys_xanthaeolus,Yellowish Rice Rat,Yellowish Aegialomys|Yellowish Oryzomys,Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,SIGMODONTINAE,ORYZOMYINI,Aegialomys,xanthaeolus,Thomas,1894,,,,NA,NA,Neotropic,manual,Oryzomys_xanthaeolus,0,0,0,0,
60,Aepeomys_lugens,Merida Montane Mouse,Merida Aepeomys|Olive Montane Mouse|Mérida Aepeomys,Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,SIGMODONTINAE,THOMASOMYINI,Aepeomys,lugens,Thomas,1896,,,,NA,NA,Neotropic,sciname match,Aepeomys_lugens,0,0,0,0,
61,Aepeomys_reigi,Reig’s Montane Mouse,Reig’s Aepeomys,Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,SIGMODONTINAE,THOMASOMYINI,Aepeomys,reigi,"Ochoa G., Aguilera, Pacheco, & Soriano",2001,,,,NA,NA,Neotropic,sciname match,Aepeomys_reigi,0,0,0,0,
